wine_name,vintage,popularity,score,avg_price
"Dominio de Pingus 'Pingus', Ribera del Duero, Spain","
                            2004                    ","
                            185","
                            100/100                    ","1,347"
"Dominio de Pingus 'Pingus', Ribera del Duero, Spain","
                            2003                    ","
                            185","
                            100/100                    ",668
"E. Guigal Cote Rotie La Mouline, Rhone, France","
                            2010                    ","
                            189","
                            100/100                    ",441
"E. Guigal Cote Rotie La Mouline, Rhone, France","
                            2009                    ","
                            189","
                            100/100                    ",449
"E. Guigal Cote Rotie La Mouline, Rhone, France","
                            2005                    ","
                            189","
                            100/100                    ",462
"E. Guigal Cote Rotie La Mouline, Rhone, France","
                            2003                    ","
                            189","
                            100/100                    ",574
"E. Guigal Cote Rotie La Mouline, Rhone, France","
                            1999                    ","
                            189","
                            100/100                    ",629
"E. Guigal Cote Rotie La Mouline, Rhone, France","
                            1985                    ","
                            189","
                            100/100                    ","1,228"
"E. Guigal Cote Rotie La Mouline, Rhone, France","
                            1978                    ","
                            189","
                            100/100                    ","4,259"
"E. Guigal Cote Rotie La Mouline, Rhone, France","
                            1976                    ","
                            189","
                            100/100                    ","2,876"
"Realm Cellars The Bard Proprietary Blend, Napa Valley, USA","
                            2013                    ","
                            501","
                            100/100                    ",305
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2000                    ","
                            39","
                            100/100                    ",590
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA","
                            2012                    ","
                            42","
                            100/100                    ","3,140"
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA","
                            2010                    ","
                            42","
                            100/100                    ","3,466"
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA","
                            2007                    ","
                            42","
                            100/100                    ","3,813"
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA","
                            1997                    ","
                            42","
                            100/100                    ","5,423"
"Domaine de la Romanee-Conti Richebourg Grand Cru, Cote de Nuits, France","
                            1929                    ","
                            44","
                            100/100                    ","17,405"
"Dominus Estate Christian Moueix, Napa Valley, USA","
                            2013                    ","
                            48","
                            100/100                    ",329
"Dominus Estate Christian Moueix, Napa Valley, USA","
                            2010                    ","
                            48","
                            100/100                    ",308
"Harlan Estate, Napa Valley, USA","
                            2013                    ","
                            49","
                            100/100                    ","1,171"
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            2012                    ","
                            164","
                            100/100                    ",340
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            2010                    ","
                            164","
                            100/100                    ",435
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            2009                    ","
                            164","
                            100/100                    ",437
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            2005                    ","
                            164","
                            100/100                    ",453
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            2003                    ","
                            164","
                            100/100                    ",592
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            1999                    ","
                            164","
                            100/100                    ",620
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            1998                    ","
                            164","
                            100/100                    ",516
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            1990                    ","
                            164","
                            100/100                    ",715
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            1988                    ","
                            164","
                            100/100                    ",844
"Le Clos du Caillou Chateauneuf-du-Pape La Reserve, Rhone, France","
                            2005                    ","
                            537","
                            100/100                    ",173
"Le Clos du Caillou Chateauneuf-du-Pape La Reserve, Rhone, France","
                            2001                    ","
                            537","
                            100/100                    ",280
"Dalla Valle Vineyards Maya, Napa Valley, USA","
                            2013                    ","
                            556","
                            100/100                    ",486
"Dalla Valle Vineyards Maya, Napa Valley, USA","
                            2002                    ","
                            556","
                            100/100                    ",567
"Dalla Valle Vineyards Maya, Napa Valley, USA","
                            1992                    ","
                            556","
                            100/100                    ",723
"M. Chapoutier Ermitage l'Ermite, Rhone, France","
                            2012                    ","
                            573","
                            100/100                    ",333
"M. Chapoutier Ermitage l'Ermite, Rhone, France","
                            2010                    ","
                            573","
                            100/100                    ",371
"M. Chapoutier Ermitage l'Ermite, Rhone, France","
                            2003                    ","
                            573","
                            100/100                    ",368
"M. Chapoutier Ermitage l'Ermite, Rhone, France","
                            2001                    ","
                            573","
                            100/100                    ",205
"Domaine Jean-Louis Chave Hermitage, Rhone, France","
                            2009                    ","
                            63","
                            100/100                    ",403
"Domaine Jean-Louis Chave Hermitage, Rhone, France","
                            2003                    ","
                            63","
                            100/100                    ",591
"Chateau Smith Haut Lafitte, Pessac-Leognan, France","
                            2009                    ","
                            64","
                            100/100                    ",243
"Chateau Ausone, Saint-Emilion Grand Cru, France","
                            2005                    ","
                            66","
                            100/100                    ","1,575"
"Chateau Ausone, Saint-Emilion Grand Cru, France","
                            2003                    ","
                            66","
                            100/100                    ","1,026"
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            2010                    ","
                            217","
                            100/100                    ",442
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            2009                    ","
                            217","
                            100/100                    ",449
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            2005                    ","
                            217","
                            100/100                    ",457
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            2003                    ","
                            217","
                            100/100                    ",591
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            1999                    ","
                            217","
                            100/100                    ",616
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            1995                    ","
                            217","
                            100/100                    ",480
"Colgin Cellars Cariad Red, Napa Valley, USA","
                            2005                    ","
                            597","
                            100/100                    ",497
"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA","
                            2013                    ","
                            647","
                            100/100                    ",159
"Hundred Acre 'Ark Vineyard' Cabernet Sauvignon, Howell Mountain, USA","
                            2012                    ","
                            670","
                            100/100                    ",417
"Hundred Acre 'Ark Vineyard' Cabernet Sauvignon, Howell Mountain, USA","
                            2007                    ","
                            670","
                            100/100                    ",538
"Hundred Acre 'Ark Vineyard' Cabernet Sauvignon, Howell Mountain, USA","
                            2005                    ","
                            670","
                            100/100                    ",480
"Harlan Estate, Napa Valley, USA","
                            2007                    ","
                            49","
                            100/100                    ","1,155"
"Harlan Estate, Napa Valley, USA","
                            2002                    ","
                            49","
                            100/100                    ","1,138"
"Harlan Estate, Napa Valley, USA","
                            2001                    ","
                            49","
                            100/100                    ","1,226"
"Harlan Estate, Napa Valley, USA","
                            1997                    ","
                            49","
                            100/100                    ","1,109"
"Harlan Estate, Napa Valley, USA","
                            1994                    ","
                            49","
                            100/100                    ","1,162"
"Joseph Phelps Vineyards Insignia, Napa Valley, USA","
                            2002                    ","
                            50","
                            100/100                    ",351
"Joseph Phelps Vineyards Insignia, Napa Valley, USA","
                            1997                    ","
                            50","
                            100/100                    ",367
"Joseph Phelps Vineyards Insignia, Napa Valley, USA","
                            1991                    ","
                            50","
                            100/100                    ",445
"M. Chapoutier Ermitage l'Ermite, Rhone, France","
                            1996                    ","
                            573","
                            100/100                    ",374
"Le Dome, Saint-Emilion Grand Cru, France","
                            2010                    ","
                            580","
                            100/100                    ",306
"Hundred Acre 'Kayli Morgan Vineyard' Cabernet Sauvignon, Napa Valley, USA","
                            2007                    ","
                            590","
                            100/100                    ",627
"Hundred Acre 'Kayli Morgan Vineyard' Cabernet Sauvignon, Napa Valley, USA","
                            2005                    ","
                            590","
                            100/100                    ",447
"Hundred Acre 'Kayli Morgan Vineyard' Cabernet Sauvignon, Napa Valley, USA","
                            2002                    ","
                            590","
                            100/100                    ",502
