wine_name,vintage,popularity,score,avg_price
"Chateau Ducru-Beaucaillou, Saint-Julien, France","
                            2005                    ","
                            31","
                            19/20                    ",220
"Chateau de Beaucastel Chateauneuf-du-Pape, Rhone, France","
                            2001                    ","
                            32","
                            19/20                    ",82
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            2010                    ","
                            33","
                            19/20                    ",776
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            2009                    ","
                            33","
                            19/20                    ",725
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            2000                    ","
                            33","
                            19/20                    ",677
"Chateau Latour, Pauillac, France","
                            2003                    ","
                            6","
                            19/20                    ",928
"Chateau d'Yquem, Sauternes, France","
                            2015                    ","
                            8","
                            19/20                    ",322
"Chateau d'Yquem, Sauternes, France","
                            1997                    ","
                            8","
                            19/20                    ",299
"Chateau Haut-Brion, Pessac-Leognan, France","
                            2015                    ","
                            9","
                            19/20                    ",580
"Chateau Haut-Brion, Pessac-Leognan, France","
                            1998                    ","
                            9","
                            19/20                    ",504
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            1998                    ","
                            33","
                            19/20                    ",346
"Domaine Armand Rousseau Pere et Fils Chambertin Grand Cru, Cote de Nuits, France","
                            2006                    ","
                            38","
                            19/20                    ","1,696"
"Domaine Armand Rousseau Pere et Fils Chambertin Grand Cru, Cote de Nuits, France","
                            2003                    ","
                            38","
                            19/20                    ","2,173"
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2015                    ","
                            39","
                            19/20                    ",340
"Chateau Haut-Brion Blanc, Pessac-Leognan, France","
                            2009                    ","
                            347","
                            19/20                    ",980
"Chateau Haut-Brion Blanc, Pessac-Leognan, France","
                            2006                    ","
                            347","
                            19/20                    ",790
"Chateau Haut-Brion Blanc, Pessac-Leognan, France","
                            2005                    ","
                            347","
                            19/20                    ",985
"Chateau Haut-Brion Blanc, Pessac-Leognan, France","
                            2004                    ","
                            347","
                            19/20                    ",764
"Chateau Haut-Brion Blanc, Pessac-Leognan, France","
                            2000                    ","
                            347","
                            19/20                    ",779
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","
                            2014                    ","
                            10","
                            19/20                    ","15,440"
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","
                            2010                    ","
                            10","
                            19/20                    ","17,866"
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            10","
                            19/20                    ","18,386"
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","
                            2004                    ","
                            10","
                            19/20                    ","16,231"
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France","
                            1998                    ","
                            12","
                            19/20                    ",698
"Domaine Dujac Clos Saint-Denis Grand Cru, Cote de Nuits, France","
                            2007                    ","
                            365","
                            19/20                    ",490
"Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo, Rhone, France","
                            1998                    ","
                            372","
                            19/20                    ",631
"Krug Clos d'Ambonnay, Champagne, France","
                            1996                    ","
                            390","
                            19/20                    ","2,484"
"Rene et Vincent Dauvissat-Camus Les Clos, Chablis Grand Cru, France","
                            2010                    ","
                            417","
                            19/20                    ",207
"Rene et Vincent Dauvissat-Camus Les Clos, Chablis Grand Cru, France","
                            2009                    ","
                            417","
                            19/20                    ",210
"Rene et Vincent Dauvissat-Camus Les Clos, Chablis Grand Cru, France","
                            2007                    ","
                            417","
                            19/20                    ",229
"Rene et Vincent Dauvissat-Camus Les Clos, Chablis Grand Cru, France","
                            2005                    ","
                            417","
                            19/20                    ",202
"Domaine Francois Raveneau Les Clos, Chablis Grand Cru, France","
                            2014                    ","
                            429","
                            19/20                    ",719
"Domaine Francois Raveneau Les Clos, Chablis Grand Cru, France","
                            2012                    ","
                            429","
                            19/20                    ",593
"Domaine de Chevalier Blanc, Pessac-Leognan, France","
                            2011                    ","
                            433","
                            19/20                    ",88
"Domaine de Chevalier Blanc, Pessac-Leognan, France","
                            2010                    ","
                            433","
                            19/20                    ",104
"Louis Latour Corton-Charlemagne Grand Cru, Cote de Beaune, France","
                            2013                    ","
                            439","
                            19/20                    ",118
"Meo-Camuzet Clos de Vougeot Grand Cru, Cote de Nuits, France","
                            2014                    ","
                            455","
                            19/20                    ",215
"Meo-Camuzet Clos de Vougeot Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            455","
                            19/20                    ",260
"Clos Rougeard Saumur-Champigny Le Bourg, Loire, France","
                            2010                    ","
                            526","
                            19/20                    ",471
"Clos Rougeard Saumur-Champigny Le Bourg, Loire, France","
                            2008                    ","
                            526","
                            19/20                    ",440
"Clos Rougeard Saumur-Champigny Le Bourg, Loire, France","
                            2005                    ","
                            526","
                            19/20                    ",555
"Domaine des Comtes Lafon Montrachet Grand Cru, Cote de Beaune, France","
                            2011                    ","
                            539","
                            19/20                    ","1,270"
"Domaine des Comtes Lafon Charmes, Meursault Premier Cru, France","
                            2012                    ","
                            548","
                            19/20                    ",215
"Domaine des Comtes Lafon Charmes, Meursault Premier Cru, France","
                            2011                    ","
                            548","
                            19/20                    ",181
