name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Henschke Hill of Grace Shiraz, Eden Valley, Australia",1988,"
€433
",Henschke,Eden Valley,"
Australia
",Shiraz,Beef and Venison,Red - Rich and Intense,14%
"Chateau Mouton Rothschild, Pauillac, France",1929,"
€3,559
",Chateau Mouton Rothschild,Pauillac,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 13%
"Dom Perignon Brut, Champagne, France",1966,"
€574
",Dom Perignon,Champagne Brut,"
France
",Champagne Blend,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,12%
"Chateau Montrose, Saint-Estephe, France",1920,"
€380
",Chateau Montrose,Saint-Estephe,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Weingut Keller Westhofener Kirchspiel Riesling Trockenbeerenauslese, Rheinhessen, Germany",2005,"
€567
",Weingut Keller,Westhofen,"
Germany
",Riesling,Fruit-based Desserts,Dessert - Lush and Balanced,6%
"Chateau Lafite Rothschild, Pauillac, France",1995,"
€804
",Chateau Lafite Rothschild,Pauillac,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 13%
"Louis Roederer Cristal Brut Millesime, Champagne, France",1985,"
€658
",Louis Roederer,Champagne Brut,"
France
",Chardonnay - Pinot Noir,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,12%
"Chateau Mouton Rothschild, Pauillac, France",1949,"
€5,077
",Chateau Mouton Rothschild,Pauillac,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 13%
"Weingut Robert Weil Kiedricher Grafenberg Riesling Beerenauslese Goldkapsel, Rheingau, Germany",2004,94,"Kiedrich,
Rheingau, ,
Germany
",Riesling,Riesling,,,,
"Heymann-Lowenstein Rottgen Riesling Trockenbeerenauslese, Mosel, Germany",2005,95,"Winningen,
Mosel, ,
Germany
",Riesling,Riesling,,,,
"Weingut Keller Monsheimer Silberberg Rieslaner Trockenbeerenauslese, Rheinhessen, Germany",2006,"
€198
",Weingut Keller,Rheinhessen,"
Germany
",Rieslaner,Fruit-based Desserts,Dessert - Lush and Balanced,6 - 8%
"Weingut Emrich-Schonleber Monzinger Halenberg Riesling Auslese, Nahe, Germany",2009,"
€37
",Weingut Emrich-Schonleber,Monzingen,"
Germany
",Riesling,Fruit-based Desserts,Dessert - Lush and Balanced,7 - 10%
"Weingut Donnhoff Oberhauser Brucke Riesling Beerenauslese, Nahe, Germany",2003,"
€336
",Weingut Donnhoff,Nahe,"
Germany
",Riesling,Fruit-based Desserts,Dessert - Lush and Balanced,8%
"Quinta do Vallado Adelaide Tributa Port, Portugal",1866,"
€2,513
","Vintage Port,
Oporto [Port], ,
Douro, ,
Portugal
",Port Blend Red,Port Blend Red,,,,
"Graf von Schonborn-Schloss Schonborn Erbacher Marcobrunn Riesling Trockenbeerenauslese, Rheingau, Germany",1937,"
€4,281
",Graf von Schonborn,Rheingau,"
Germany
",Riesling,Fruit-based Desserts,Dessert - Lush and Balanced,
"Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Trockenbeerenauslese, Rheinhessen, Germany",2009,"
€1,633
",Weingut Keller,Westhofen,"
Germany
",Riesling,Fruit-based Desserts,Dessert - Lush and Balanced,6 - 7%
"Weingut Robert Weil Kiedricher Grafenberg Riesling Beerenauslese Goldkapsel, Rheingau, Germany",2005,94,"Kiedrich,
Rheingau, ,
Germany
",Riesling,Riesling,,,,
"Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Trockenbeerenauslese, Rheinhessen, Germany",2014,"
€1,503
","Westhofen,
Rheinhessen, ,
Germany
",Riesling,Riesling,,,,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",1985,"
€17,410
",Domaine de la Romanee-Conti,Romanee-Conti,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",1964,"
€1,089
",Chateau Cheval Blanc,Saint-Emilion Grand Cru,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,11 - 15%
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",2011,"
€3,800
",Domaine de la Romanee-Conti,La Tache,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2010,"
S$29,787
",Domaine de la Romanee-Conti,Romanee-Conti,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Chateau Palmer, Margaux, France",1961,"
€4,388
",Chateau Palmer,Margaux,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 15%
"Chateau Lafite Rothschild, Pauillac, France",1959,"
€3,206
",Chateau Lafite Rothschild,Pauillac,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 13%
"Chateau Mouton Rothschild, Pauillac, France",2015,"
€565
",Chateau Mouton Rothschild,Pauillac,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 13%
"Penfolds Grange Bin 95, Australia",1971,"
€1,183
",Penfolds,Australia,Australia,Shiraz,Beef and Venison,Red - Rich and Intense,11 - 14%
"Penfolds Grange Bin 95, Australia",2005,"
€452
",Penfolds,Australia,Australia,Shiraz,Beef and Venison,Red - Rich and Intense,11 - 14%
"Krug Brut, Champagne, France",1969,"
€1,967
",Krug,Champagne Brut,"
France
",Champagne Blend,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,12%
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",2009,"
€4,269
",Domaine de la Romanee-Conti,La Tache,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Penfolds Grange Bin 95, Australia",2008,"
€554
",Penfolds,Australia,Australia,Shiraz,Beef and Venison,Red - Rich and Intense,11 - 14%
"Penfolds Grange Bin 95, Australia",2004,"
€476
",Penfolds,Australia,Australia,Shiraz,Beef and Venison,Red - Rich and Intense,11 - 14%
"Chateau Montrose, Saint-Estephe, France",1982,"
€234
",Chateau Montrose,Saint-Estephe,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Louis Roederer Cristal Brut Millesime, Champagne, France",1982,"
€626
",Louis Roederer,Champagne Brut,"
France
",Chardonnay - Pinot Noir,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,12%
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",2005,"
€5,377
",Domaine de la Romanee-Conti,La Tache,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Chateau Montrose, Saint-Estephe, France",1918,"
€1,354
",Chateau Montrose,Saint-Estephe,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Louis Roederer Cristal Brut Millesime, Champagne, France",1996,"
€423
",Louis Roederer,Champagne Brut,"
France
",Chardonnay - Pinot Noir,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,12%
"Louis Roederer Cristal Brut Millesime, Champagne, France",1990,"
€493
",Louis Roederer,Champagne Brut,"
France
",Chardonnay - Pinot Noir,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,12%
"Domaine A.F. Gros Richebourg Grand Cru, Cote de Nuits, France",2006,"
€490
",Domaine A F Gros,Richebourg,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,14%
"Chateau Cos d'Estournel, Saint-Estephe, France",1945,"
€514
",Chateau Cos d'Estournel,Saint-Estephe,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Domaine A.F. Gros Richebourg Grand Cru, Cote de Nuits, France",2010,"
€478
",Domaine A F Gros,Richebourg,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,14%
"Domaine Marquis d'Angerville Clos des Ducs, Volnay Premier Cru, France",2005,"
€355
",Domaine Marquis d'Angerville,Volnay Clos des Ducs,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Joseph Drouhin Marquis de Laguiche Montrachet Grand Cru, Cote de Beaune, France",2002,"
€593
",Joseph Drouhin,Le Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,13%
